Post ID,condition,day,text,text.length,likes,comments,shares,interactions,prediction,Friends,Experimenter ID,Topic,Team Name,Platform,non.compliance
1,color,2/20/2018,,75,7,2,0,9,3,87,2,celebrity tweets,OH,Instagram,0
2,color,2/21/2018,,28,6,1,0,7,3,87,2,celebrity tweets,OH,Instagram,0
3,color,2/22/2018,,108,5,1,0,6,3,87,2,celebrity tweets,OH,Instagram,0
4,plain,2/23/2018,,32,5,1,0,6,1,87,2,celebrity tweets,OH,Instagram,0
5,plain,2/24/2018,,61,5,1,0,6,1,87,2,celebrity tweets,OH,Instagram,0
6,plain,2/25/2018,,49,6,2,0,8,1,87,2,celebrity tweets,OH,Instagram,0
7,color,2/26/2018,,10,4,0,0,4,1,87,2,celebrity tweets,OH,Instagram,0
8,plain,2/27/2018,,26,5,0,0,5,1,87,2,celebrity tweets,OH,Instagram,0
9,plain,2/28/2018,,18,5,1,0,6,2,87,2,celebrity tweets,OH,Instagram,0
10,color,3/1/2018,,61,6,1,0,7,2,87,2,celebrity tweets,OH,Instagram,0
11,plain,3/2/2018,,75,6,4,0,10,4,87,2,celebrity tweets,OH,Instagram,0
12,plain,3/3/2018,,131,6,1,0,7,3,87,2,celebrity tweets,OH,Instagram,0
13,color,3/4/2018,,135,5,2,0,7,3,87,2,celebrity tweets,OH,Instagram,0
14,color,3/5/2018,,87,5,2,0,7,4,87,2,celebrity tweets,OH,Instagram,0
1,color,2/20/2018,,66,23,4,0,27,5,1037,1,haikus,HD,Facebook,0
2,plain,2/21/2018,,71,24,2,0,26,2,1037,1,haikus,HD,Facebook,0
3,plain,2/22/2018,,76,18,2,0,20,3,1037,1,haikus,HD,Facebook,0
4,color,2/23/2018,,65,21,3,0,24,3,1037,1,haikus,HD,Facebook,0
5,color,2/24/2018,,70,22,2,0,24,2,1037,1,haikus,HD,Facebook,0
6,color,2/25/2018,,73,14,0,0,14,2,1037,1,haikus,HD,Facebook,0
7,plain,2/26/2018,,72,17,1,0,18,4,1037,1,haikus,HD,Facebook,0
8,color,2/27/2018,,73,12,2,0,14,2,1037,1,haikus,HD,Facebook,0
9,plain,2/28/2018,,73,18,3,0,21,4,1037,1,haikus,HD,Facebook,0
10,color,3/1/2018,,66,20,1,0,21,2,1037,1,haikus,HD,Facebook,0
11,plain,3/2/2018,,60,18,0,0,18,2,1037,1,haikus,HD,Facebook,0
12,plain,3/3/2018,,56,17,0,0,17,4,1037,1,haikus,HD,Facebook,0
13,color,3/4/2018,,58,15,2,0,17,3,1037,1,haikus,HD,Facebook,0
14,plain,3/5/2018,,68,12,0,0,12,1,1037,1,haikus,HD,Facebook,0
1,color,2/20/2018,,22,48,5,0,53,4,877,2,Fruit,mms,Facebook,0
2,plain,2/21/2018,,38,37,3,0,40,4,877,2,Fruit,mms,Facebook,0
3,plain,2/22/2018,,3,NA,NA,NA,0,NA,877,2,Fruit,mms,Facebook,1
4,color,2/23/2018,,30,27,0,0,27,3,877,2,Fruit,mms,Facebook,0
5,plain,2/24/2018,,15,20,1,0,21,2,877,2,Fruit,mms,Facebook,0
6,color,2/25/2018,,3,NA,NA,NA,0,NA,877,2,Fruit,mms,Facebook,1
7,plain,2/26/2018,,21,15,2,0,17,1,877,2,Fruit,mms,Facebook,0
8,plain,2/27/2018,,14,22,4,0,26,1,877,2,Fruit,mms,Facebook,0
9,color,2/28/2018,,28,56,10,0,66,5,877,2,Fruit,mms,Facebook,0
10,plain,3/1/2018,,3,NA,NA,NA,0,NA,877,2,Fruit,mms,Facebook,1
11,plain,3/2/2018,,26,32,7,0,39,3,877,2,Fruit,mms,Facebook,0
12,color,3/3/2018,,29,30,4,0,34,4,877,2,Fruit,mms,Facebook,0
13,color,3/4/2018,,3,NA,NA,NA,0,NA,877,2,Fruit,mms,Facebook,1
14,color,3/5/2018,,35,39,2,0,41,2,877,2,Fruit,mms,Facebook,0
1,color,2/20/2018,,84,54,5,0,99,5,2040,1,r/showerthoughts,OH,Facebook,0
2,color,2/21/2018,,82,55,5,0,69,2,2040,1,r/showerthoughts,OH,Facebook,0
3,color,2/22/2018,,61,55,2,0,59,2,2040,1,r/showerthoughts,OH,Facebook,0
4,plain,2/23/2018,,89,36,3,0,44,1,2040,1,r/showerthoughts,OH,Facebook,0
5,plain,2/24/2018,,96,42,4,0,94,1,2040,1,r/showerthoughts,OH,Facebook,0
6,plain,2/25/2018,,83,77,2,0,90,1,2040,1,r/showerthoughts,OH,Facebook,0
